Date,Price,Open,High,Low,Vol.,Change %
03/29/2024,"1,377.94","1,372.98","1,378.21","1,371.37",6.54M,0.55%
03/28/2024,"1,370.34","1,381.81","1,383.54","1,369.14",15.80M,-0.76%
03/27/2024,"1,380.83","1,375.60","1,384.75","1,375.33",17.62M,0.26%
03/26/2024,"1,377.23","1,372.40","1,379.27","1,370.09",19.03M,0.35%
03/25/2024,"1,372.49","1,381.00","1,385.61","1,368.21",14.89B,-0.62%
03/22/2024,"1,381.04","1,383.81","1,389.79","1,379.43",15.71B,-0.47%
03/21/2024,"1,387.62","1,383.61","1,388.40","1,383.40",15.41M,1.05%
03/20/2024,"1,373.18","1,384.93","1,386.47","1,372.61",17.07M,-0.67%
03/19/2024,"1,382.46","1,385.26","1,391.21","1,382.46",17.37B,-0.25%
03/18/2024,"1,385.94","1,388.40","1,393.46","1,385.01",12.93B,-0.01%
03/15/2024,"1,386.04","1,390.12","1,393.26","1,386.04",17.10B,-0.64%
03/14/2024,"1,394.93","1,384.72","1,395.88","1,383.26",21.33B,0.75%
03/13/2024,"1,384.51","1,379.60","1,388.32","1,378.43",19.90B,0.35%
03/12/2024,"1,379.63","1,383.36","1,385.65","1,374.69",23.90B,-0.04%
03/11/2024,"1,380.23","1,383.38","1,387.61","1,379.72",13.38B,-0.45%
03/08/2024,"1,386.42","1,373.41","1,386.58","1,373.05",17.35B,1.04%
03/07/2024,"1,372.16","1,373.10","1,374.96","1,365.16",17.18M,0.12%
03/06/2024,"1,370.55","1,356.45","1,375.82","1,356.10",18.03B,0.83%
03/05/2024,"1,359.26","1,358.87","1,362.46","1,350.98",18.71B,-0.24%
03/04/2024,"1,362.59","1,369.13","1,372.01","1,362.05",18.99B,-0.35%
03/01/2024,"1,367.42","1,369.63","1,375.22","1,364.31",22.83B,-0.24%
02/29/2024,"1,370.67","1,380.84","1,381.24","1,367.40",25.78M,-0.82%
02/28/2024,"1,382.05","1,389.39","1,389.44","1,381.65",26.54M,-0.84%
02/27/2024,"1,393.70","1,397.80","1,400.64","1,390.35",22.94M,-0.32%
02/23/2024,"1,398.14","1,404.26","1,404.65","1,396.78",16.09M,-0.31%
02/22/2024,"1,402.47","1,396.65","1,405.13","1,393.52",18.53B,0.64%
02/21/2024,"1,393.61","1,382.90","1,395.11","1,379.02",26.10B,0.91%
02/20/2024,"1,381.07","1,388.41","1,389.06","1,376.65",14.37B,-0.45%
02/19/2024,"1,387.33","1,383.97","1,390.91","1,383.36",14.54M,0.08%
02/16/2024,"1,386.27","1,394.16","1,396.90","1,383.52",17.97M,-0.07%
02/15/2024,"1,387.27","1,387.05","1,392.33","1,383.66",15.01M,0.16%
02/14/2024,"1,385.11","1,382.07","1,386.47","1,378.82",16.63M,-0.48%
02/13/2024,"1,391.73","1,392.37","1,397.60","1,391.73",9.22M,0.17%
02/12/2024,"1,389.30","1,389.54","1,392.17","1,386.52",7.37M,0.07%
02/09/2024,"1,388.37","1,389.92","1,391.44","1,385.05",9.74M,-0.02%
02/08/2024,"1,388.60","1,399.40","1,403.71","1,388.60",21.76M,-0.82%
02/07/2024,"1,400.02","1,400.20","1,402.44","1,394.10",20.74M,0.22%
02/06/2024,"1,396.96","1,385.92","1,400.63","1,385.92",30.23B,0.94%
02/05/2024,"1,383.93","1,383.38","1,389.67","1,379.86",26.82B,-0.01%
02/02/2024,"1,384.08","1,376.04","1,386.67","1,375.40",26.90M,1.18%
02/01/2024,"1,367.96","1,363.65","1,372.73","1,357.89",21.03M,0.25%
01/31/2024,"1,364.52","1,374.35","1,374.55","1,360.23",20.35M,-0.63%
01/30/2024,"1,373.14","1,376.29","1,378.23","1,370.81",20.16M,-0.23%
01/29/2024,"1,376.28","1,373.78","1,379.60","1,366.84",18.86B,0.59%
01/26/2024,"1,368.15","1,375.76","1,379.85","1,364.86",27.65M,-0.58%
01/25/2024,"1,376.09","1,376.97","1,378.89","1,370.89",22.16M,-0.37%
01/24/2024,"1,381.19","1,356.98","1,382.78","1,355.13",22.59M,1.82%
01/23/2024,"1,356.54","1,373.62","1,375.60","1,353.29",17.17M,-0.98%
01/22/2024,"1,369.92","1,383.42","1,383.42","1,369.92",18.72M,-0.91%
01/19/2024,"1,382.51","1,384.84","1,389.26","1,378.28",15.99B,0.33%
01/18/2024,"1,377.93","1,382.34","1,387.31","1,374.70",21.83M,-0.20%
01/17/2024,"1,380.65","1,397.64","1,397.64","1,378.91",17.57M,-1.50%
01/16/2024,"1,401.72","1,406.11","1,407.08","1,399.85",17.91B,-0.38%
01/15/2024,"1,407.02","1,415.63","1,415.84","1,405.72",12.76M,-0.46%
01/12/2024,"1,413.53","1,410.11","1,416.10","1,408.70",15.22M,0.38%
01/11/2024,"1,408.24","1,415.62","1,415.68","1,407.32",11.96M,-0.37%
01/10/2024,"1,413.52","1,416.03","1,418.33","1,410.37",14.18M,-0.10%
01/09/2024,"1,414.93","1,427.51","1,428.36","1,414.73",14.78M,-0.25%
01/08/2024,"1,418.45","1,426.95","1,427.67","1,415.06",17.95M,-0.67%
01/05/2024,"1,427.96","1,432.93","1,437.84","1,425.84",15.52M,-0.46%
01/04/2024,"1,434.59","1,427.98","1,435.01","1,421.10",12.93M,0.35%
01/03/2024,"1,429.62","1,431.88","1,436.28","1,426.96",11.86M,-0.26%
01/02/2024,"1,433.38","1,415.70","1,434.18","1,415.09",11.22M,1.24%
12/28/2023,"1,415.85","1,410.87","1,418.87","1,410.87",12.99M,0.38%
12/27/2023,"1,410.43","1,415.06","1,416.00","1,407.81",10.15M,-0.21%
12/26/2023,"1,413.45","1,409.00","1,414.18","1,406.58",7.70M,0.33%
12/25/2023,"1,408.83","1,404.56","1,409.41","1,404.35",6.02B,0.27%
12/22/2023,"1,405.09","1,407.39","1,407.57","1,397.93",11.57B,0.02%
12/21/2023,"1,404.84","1,394.91","1,407.50","1,394.60",10.64M,0.32%
12/20/2023,"1,400.37","1,398.01","1,406.03","1,395.45",11.54M,0.39%
12/19/2023,"1,394.90","1,395.26","1,397.51","1,389.20",10.92M,0.11%
12/18/2023,"1,393.41","1,387.33","1,395.47","1,384.21",9.35M,0.17%
12/15/2023,"1,391.03","1,384.87","1,398.54","1,382.44",12.38M,0.88%
12/14/2023,"1,378.94","1,370.16","1,380.31","1,367.00",10.96M,1.54%
12/13/2023,"1,357.97","1,369.88","1,370.04","1,354.94",10.81M,-1.16%
12/12/2023,"1,373.92","1,383.31","1,383.31","1,370.14",10.04M,-0.51%
12/08/2023,"1,380.99","1,381.80","1,389.25","1,376.55",11.90M,0.16%
12/07/2023,"1,378.73","1,384.06","1,384.18","1,373.84",11.21M,-0.78%
12/06/2023,"1,389.55","1,383.14","1,393.31","1,380.21",11.98M,0.43%
12/04/2023,"1,383.54","1,376.72","1,389.19","1,375.08",10.88M,0.23%
12/01/2023,"1,380.31","1,382.25","1,384.13","1,374.06",12.83B,0.01%
11/30/2023,"1,380.18","1,389.25","1,389.65","1,371.98",18.91M,-0.54%
11/29/2023,"1,387.69","1,404.89","1,404.98","1,387.50",13.49M,-0.98%
11/28/2023,"1,401.42","1,398.57","1,405.40","1,395.01",10.98M,0.57%
11/27/2023,"1,393.42","1,393.02","1,397.39","1,385.39",10.24M,-0.29%
11/24/2023,"1,397.43","1,407.39","1,409.78","1,396.27",10.34M,-0.65%
11/23/2023,"1,406.61","1,414.93","1,414.93","1,400.62",13.47M,-0.53%
11/22/2023,"1,414.15","1,422.02","1,422.02","1,407.55",10.79M,-0.66%
11/21/2023,"1,423.61","1,427.04","1,427.13","1,418.42",10.70B,0.29%
11/20/2023,"1,419.44","1,415.68","1,419.80","1,410.01",9.97M,0.26%
11/17/2023,"1,415.78","1,408.04","1,422.59","1,406.40",12.24M,0.03%
11/16/2023,"1,415.34","1,413.05","1,417.20","1,407.79",10.84B,0.01%
11/15/2023,"1,415.17","1,401.48","1,416.76","1,401.06",13.30M,2.10%
11/14/2023,"1,386.04","1,390.37","1,393.20","1,377.69",12.14B,-0.08%
11/13/2023,"1,387.13","1,391.47","1,392.54","1,378.08",12.05B,-0.18%
11/10/2023,"1,389.57","1,392.68","1,405.77","1,387.41",13.17M,-1.10%
11/09/2023,"1,404.97","1,410.83","1,411.20","1,389.60",14.07M,-0.48%
11/08/2023,"1,411.77","1,410.07","1,416.88","1,407.06",10.48M,0.25%
11/07/2023,"1,408.30","1,413.64","1,419.53","1,407.11",11.48M,-0.63%
11/06/2023,"1,417.21","1,428.15","1,431.02","1,417.21",10.05M,-0.18%
11/03/2023,"1,419.76","1,410.98","1,424.65","1,410.04",10.85M,1.12%
11/02/2023,"1,403.99","1,391.97","1,407.59","1,391.97",11.23M,1.74%
11/01/2023,"1,379.96","1,380.89","1,387.78","1,373.35",11.04M,-0.14%
10/31/2023,"1,381.83","1,395.60","1,395.77","1,374.66",10.09M,-1.00%
10/30/2023,"1,395.85","1,381.57","1,398.04","1,381.21",11.16B,0.55%
10/27/2023,"1,388.23","1,369.02","1,390.58","1,366.27",12.03M,1.24%
10/26/2023,"1,371.22","1,394.50","1,395.27","1,370.72",11.59M,-2.17%
10/25/2023,"1,401.70","1,401.25","1,414.13","1,399.67",11.61M,0.77%
10/24/2023,"1,391.03","1,395.92","1,398.73","1,387.60",10.20B,-0.59%
10/20/2023,"1,399.35","1,420.24","1,422.10","1,398.25",11.97M,-1.66%
10/19/2023,"1,423.04","1,425.07","1,428.75","1,419.80",10.70M,-1.03%
10/18/2023,"1,437.85","1,432.94","1,445.30","1,430.05",12.80M,0.31%
10/17/2023,"1,433.40","1,431.83","1,440.53","1,429.52",9.79M,0.44%
10/16/2023,"1,427.11","1,443.89","1,445.87","1,416.54",12.35M,-1.63%
10/12/2023,"1,450.75","1,457.00","1,459.19","1,448.38",9.84B,-0.36%
10/11/2023,"1,455.99","1,438.08","1,456.43","1,434.72",12.89M,1.50%
10/10/2023,"1,434.45","1,441.84","1,441.84","1,430.24",10.99M,0.19%
10/09/2023,"1,431.72","1,434.67","1,435.49","1,423.24",10.92M,-0.47%
10/06/2023,"1,438.45","1,457.81","1,457.81","1,434.03",10.87M,-0.97%
10/05/2023,"1,452.55","1,454.57","1,455.95","1,443.93",10.30M,0.09%
10/04/2023,"1,451.25","1,430.74","1,454.63","1,430.74",11.04M,0.27%
10/03/2023,"1,447.30","1,458.65","1,459.99","1,443.24",12.48B,-1.51%
10/02/2023,"1,469.46","1,473.54","1,478.01","1,461.66",10.52B,-0.13%
09/29/2023,"1,471.43","1,482.12","1,484.51","1,471.43",12.39M,-0.72%
09/28/2023,"1,482.14","1,497.65","1,505.37","1,482.01",12.59M,-1.00%
09/27/2023,"1,497.15","1,494.14","1,499.06","1,488.14",10.38B,0.21%
