Date,Price,Open,High,Low,Change %
03/29/2024,36.34,36.48,36.526,36.31,-0.33%
03/28/2024,36.46,36.39,36.55,36.335,0.30%
03/27/2024,36.35,36.335,36.51,36.3,0.08%
03/26/2024,36.32,36.35,36.42,36.24,-0.06%
03/25/2024,36.34,36.37,36.47,36.23,-0.03%
03/22/2024,36.35,36.31,36.49,36.25,0.11%
03/21/2024,36.31,36,36.33,35.885,0.92%
03/20/2024,35.98,36.05,36.21,35.975,-0.14%
03/19/2024,36.03,35.985,36.11,35.94,0.19%
03/18/2024,35.96,35.89,36.01,35.88,0.28%
03/15/2024,35.86,35.78,35.93,35.76,0.25%
03/14/2024,35.77,35.64,35.82,35.6,0.39%
03/13/2024,35.63,35.75,35.785,35.56,-0.31%
03/12/2024,35.74,35.415,35.8,35.38,0.96%
03/11/2024,35.4,35.4,35.5,35.345,0.08%
03/08/2024,35.37,35.56,35.595,35.295,-0.45%
03/07/2024,35.53,35.61,35.665,35.505,-0.20%
03/06/2024,35.6,35.82,35.87,35.57,-0.59%
03/05/2024,35.81,35.755,35.88,35.72,0.20%
03/04/2024,35.74,35.86,35.87,35.73,-0.31%
03/01/2024,35.85,35.9,36.01,35.82,-0.08%
02/29/2024,35.88,35.95,36.05,35.785,-0.31%
02/28/2024,35.99,35.86,36.09,35.815,0.36%
02/27/2024,35.86,35.88,35.97,35.77,-0.08%
02/26/2024,35.89,35.96,36.025,35.815,-0.17%
02/23/2024,35.95,35.945,36.14,35.89,0.03%
02/22/2024,35.94,35.88,35.99,35.72,0.20%
02/21/2024,35.87,35.995,36.08,35.775,-0.42%
02/20/2024,36.02,36.04,36.23,35.95,0.00%
02/19/2024,36.02,36.03,36.09,35.89,0.08%
02/16/2024,35.99,36.07,36.17,35.96,-0.19%
02/15/2024,36.06,36.11,36.2,36.03,-0.11%
02/14/2024,36.1,36.06,36.21,36.04,0.22%
02/13/2024,36.02,35.89,36.09,35.655,0.39%
02/12/2024,35.88,35.91,35.965,35.83,-0.03%
02/09/2024,35.89,35.86,35.99,35.815,0.11%
02/08/2024,35.85,35.615,35.94,35.56,0.70%
02/07/2024,35.6,35.6,35.66,35.425,0.14%
02/06/2024,35.55,35.8,35.825,35.5,-0.67%
02/05/2024,35.79,35.56,35.87,35.55,0.56%
