"('ประเภทโลหะที่มีค่าสูง / Nonferrous metals', 'ชนิดสินค้า')","('ประเภทโลหะที่มีค่าสูง / Nonferrous metals', 'ราคา / หน่วย')",update_date,import,export,gdp,cpi
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-03,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-04,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-05,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-08,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-09,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-10,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-11,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-12,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-13,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-14,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-15,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-16,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-17,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-18,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-19,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-22,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-26,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-27,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-29,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-30,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-01,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-02,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-03,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-04,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-05,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-06,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-07,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-10,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-11,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-12,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-13,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-16,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-18,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-19,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-20,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-21,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-22,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-23,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-26,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-28,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-05,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-06,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-07,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-09,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-12,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-13,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-14,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-19,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-20,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-21,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-22,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-23,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-24,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-25,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-26,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-27,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-28,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-29,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-30,323.7688945,272.9165031,543.98,113.27
