"('ประเภทโลหะที่มีค่าสูง / Nonferrous metals', 'ชนิดสินค้า')","('ประเภทโลหะที่มีค่าสูง / Nonferrous metals', 'ราคา / หน่วย')",Date,Set_Price,USD_Price,import,export,gdp,cpi
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-03,"1,641.63",34.66,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-04,"1,588.19",33.84,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-05,"1,383.54",35.24,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-08,"1,378.73",35.13,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-09,"1,380.99",35.52,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-10,"1,623.13",34.64,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-11,"1,389.57",33.62,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-12,"1,551.82",35.73,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-13,"1,373.92",35.68,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-14,"1,357.97",35.29,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-15,"1,378.94",34.87,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-16,"1,391.03",34.9,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-17,"1,619.01",34.82,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-18,"1,641.73",33.32,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-19,"1,393.41",34.96,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-22,"1,404.84",34.79,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-26,"1,408.83",34.6,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-27,"1,413.45",34.55,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-01-29,"1,415.85",34.26,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-01-30,"1,661.20",34.35,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-01,"1,478.05",34.38,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-02,"1,433.38",34.26,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-03,"1,429.62",34.48,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-04,"1,434.59",34.51,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-05,"1,427.96",34.66,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-06,"1,673.86",33.79,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-07,"1,657.62",33.62,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-10,"1,413.52",35.06,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-11,"1,408.24",35.06,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-12,"1,413.53",34.86,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-13,"1,681.73",32.85,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-02-16,"1,401.72",35.36,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-18,"1,377.93",35.56,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-19,"1,382.51",35.5,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-20,"1,677.25",32.65,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-21,"1,652.73",32.91,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-22,"1,369.92",35.59,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-23,"1,356.54",35.69,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-26,"1,368.15",35.64,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,27.0,2019-02-28,"1,639.51",33.42,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-05,"1,383.93",35.79,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-06,"1,396.96",35.55,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-07,"1,400.02",35.6,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-09,"1,388.37",35.89,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-12,"1,389.30",35.88,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-13,"1,391.73",36.02,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-14,"1,385.11",36.1,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,28.0,2019-03-19,"1,387.33",36.02,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-20,"1,381.07",36.02,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-21,"1,393.61",35.87,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-22,"1,402.47",35.94,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-23,"1,398.14",35.95,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-24,"1,634.02",34.92,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-25,"1,679.90",32.45,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-26,"1,366.41",35.89,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-27,"1,393.70",35.86,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-28,"1,382.05",35.99,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-29,"1,370.67",35.88,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-03-30,"1,373.14",35.38,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-01,"1,644.64",31.68,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-02,"1,651.48",31.76,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-03,"1,649.06",31.74,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-04,"1,644.22",31.79,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-05,"1,646.18",31.88,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-06,"1,370.55",35.6,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-08,"1,386.42",31.87,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-09,"1,657.74",31.75,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,29.0,2019-04-10,"1,662.13",31.72,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,49.0,2019-04-11,"1,659.09",31.86,323.7688945,272.9165031,543.98,113.27
อลูมิเนียมกระป๋องโค้ก,49.0,2019-04-12,"1,660.45",31.74,323.7688945,272.9165031,543.98,113.27
