price,export,update_date
35.0,252.485,2018-08-20
35.0,252.485,2018-08-26
36.0,252.485,2018-08-29
36.0,252.485,2018-08-31
36.0,252.485,2018-09-01
36.0,252.485,2018-09-02
36.0,252.485,2018-09-04
35.0,252.485,2018-09-05
35.0,252.485,2018-09-06
35.0,252.485,2018-09-07
35.0,252.485,2018-09-08
35.0,252.485,2018-09-09
35.0,252.485,2018-09-10
34.0,252.485,2018-09-12
34.0,252.485,2018-09-13
34.0,252.485,2018-09-14
33.0,252.485,2018-09-15
33.0,252.485,2018-09-18
33.0,252.485,2018-09-19
33.0,252.485,2018-09-20
33.0,252.485,2018-09-22
33.0,252.485,2018-09-25
33.0,252.485,2018-09-26
33.0,252.485,2018-09-28
33.0,252.485,2018-09-29
33.0,252.485,2018-10-01
34.0,252.485,2018-10-02
34.0,252.485,2018-10-03
34.0,252.485,2018-10-04
34.0,252.485,2018-10-06
34.0,252.485,2018-10-07
34.0,252.485,2018-10-09
34.0,252.485,2018-10-10
34.0,252.485,2018-10-11
34.0,252.485,2018-10-13
34.0,252.485,2018-10-15
34.0,252.485,2018-10-16
34.0,252.485,2018-10-17
33.0,252.485,2018-10-19
33.0,252.485,2018-10-20
33.0,252.485,2018-10-22
33.0,252.485,2018-10-23
33.0,252.485,2018-10-24
33.0,252.485,2018-10-25
33.0,252.485,2018-10-30
33.0,252.485,2018-10-31
32.0,252.485,2018-11-01
33.0,252.485,2018-11-02
33.0,252.485,2018-11-03
33.0,252.485,2018-11-04
33.0,252.485,2018-11-06
32.0,252.485,2018-11-07
32.0,252.485,2018-11-08
33.0,252.485,2018-11-09
33.0,252.485,2018-11-10
33.0,252.485,2018-11-15
32.0,252.485,2018-11-16
32.0,252.485,2018-11-17
32.0,252.485,2018-11-20
32.0,252.485,2018-11-21
32.0,252.485,2018-11-23
32.0,252.485,2018-11-24
32.0,252.485,2018-11-26
32.0,252.485,2018-11-27
32.0,252.485,2018-11-28
32.0,252.485,2018-11-29
32.0,252.485,2018-11-30
