price of aluminum extrusion,Set_Price,USD_Price,import,export,gdp,cpi,price of aluminum extrusion_lag_1,price of aluminum extrusion_lag_2,price of aluminum extrusion_lag_3,Set_Price_lag_1,Set_Price_lag_2,Set_Price_lag_3,USD_Price_lag_1,USD_Price_lag_2,USD_Price_lag_3,import_lag_1,import_lag_2,import_lag_3,export_lag_1,export_lag_2,export_lag_3,gdp_lag_1,gdp_lag_2,gdp_lag_3,cpi_lag_1,cpi_lag_2,cpi_lag_3
32.0,1641.63,34.66,323.7688945,272.9165031,543.98,113.27,32.0,32.0,32.0,1641.63,1641.63,1641.63,34.66,34.66,34.66,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
32.0,1588.19,33.84,323.7688945,272.9165031,543.98,113.27,32.0,32.0,32.0,1641.63,1588.19,1588.19,34.66,33.84,33.84,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
32.0,1383.54,35.24,323.7688945,272.9165031,543.98,113.27,32.0,32.0,32.0,1588.19,1641.63,1383.54,33.84,34.66,35.24,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
32.0,1378.73,35.13,323.7688945,272.9165031,543.98,113.27,32.0,32.0,32.0,1383.54,1588.19,1641.63,35.24,33.84,34.66,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
32.0,1380.99,35.52,323.7688945,272.9165031,543.98,113.27,32.0,32.0,32.0,1378.73,1383.54,1588.19,35.13,35.24,33.84,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
32.0,1623.13,34.64,323.7688945,272.9165031,543.98,113.27,32.0,32.0,32.0,1380.99,1378.73,1383.54,35.52,35.13,35.24,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
32.0,1389.57,33.62,323.7688945,272.9165031,543.98,113.27,32.0,32.0,32.0,1623.13,1380.99,1378.73,34.64,35.52,35.13,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
32.0,1551.82,35.73,323.7688945,272.9165031,543.98,113.27,32.0,32.0,32.0,1389.57,1623.13,1380.99,33.62,34.64,35.52,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
32.0,1373.92,35.68,323.7688945,272.9165031,543.98,113.27,32.0,32.0,32.0,1551.82,1389.57,1623.13,35.73,33.62,34.64,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
32.0,1357.97,35.29,323.7688945,272.9165031,543.98,113.27,32.0,32.0,32.0,1373.92,1551.82,1389.57,35.68,35.73,33.62,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
31.0,1378.94,34.87,323.7688945,272.9165031,543.98,113.27,32.0,32.0,32.0,1357.97,1373.92,1551.82,35.29,35.68,35.73,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
31.0,1391.03,34.9,323.7688945,272.9165031,543.98,113.27,31.0,32.0,32.0,1378.94,1357.97,1373.92,34.87,35.29,35.68,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
31.0,1619.01,34.82,323.7688945,272.9165031,543.98,113.27,31.0,31.0,32.0,1391.03,1378.94,1357.97,34.9,34.87,35.29,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
31.0,1641.73,33.32,323.7688945,272.9165031,543.98,113.27,31.0,31.0,31.0,1619.01,1391.03,1378.94,34.82,34.9,34.87,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
31.0,1393.41,34.96,323.7688945,272.9165031,543.98,113.27,31.0,31.0,31.0,1641.73,1619.01,1391.03,33.32,34.82,34.9,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
31.0,1404.84,34.79,323.7688945,272.9165031,543.98,113.27,31.0,31.0,31.0,1393.41,1641.73,1619.01,34.96,33.32,34.82,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
31.0,1408.83,34.6,323.7688945,272.9165031,543.98,113.27,31.0,31.0,31.0,1404.84,1393.41,1641.73,34.79,34.96,33.32,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
31.0,1413.45,34.55,323.7688945,272.9165031,543.98,113.27,31.0,31.0,31.0,1408.83,1404.84,1393.41,34.6,34.79,34.96,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
31.0,1415.85,34.26,323.7688945,272.9165031,543.98,113.27,31.0,31.0,31.0,1413.45,1408.83,1404.84,34.55,34.6,34.79,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
31.0,1661.2,34.35,323.7688945,272.9165031,543.98,113.27,31.0,31.0,31.0,1415.85,1413.45,1408.83,34.26,34.55,34.6,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
31.0,1478.05,34.38,323.7688945,272.9165031,543.98,113.27,31.0,31.0,31.0,1661.2,1415.85,1413.45,34.35,34.26,34.55,323.7688945,323.7688945,323.7688945,272.9165031,272.9165031,272.9165031,543.98,543.98,543.98,113.27,113.27,113.27
