Price,Date
42.0,2018-08-20
42.0,2018-08-26
42.0,2018-08-29
42.0,2018-08-31
42.0,2018-09-01
42.0,2018-09-02
42.0,2018-09-04
42.0,2018-09-05
41.0,2018-09-06
41.0,2018-09-07
41.0,2018-09-08
41.0,2018-09-09
41.0,2018-09-10
41.0,2018-09-12
41.0,2018-09-13
41.0,2018-09-14
41.0,2018-09-15
41.0,2018-09-18
41.0,2018-09-19
41.0,2018-09-20
41.0,2018-09-22
41.0,2018-09-25
41.0,2018-09-26
38.0,2018-09-28
38.0,2018-09-29
38.0,2018-10-01
38.0,2018-10-02
38.0,2018-10-03
38.0,2018-10-04
38.0,2018-10-06
38.0,2018-10-07
38.0,2018-10-09
38.0,2018-10-10
38.0,2018-10-11
38.0,2018-10-13
38.0,2018-10-15
38.0,2018-10-16
38.0,2018-10-17
38.0,2018-10-19
38.0,2018-10-20
38.0,2018-10-22
38.0,2018-10-23
38.0,2018-10-24
38.0,2018-10-25
38.0,2018-10-30
36.0,2018-10-31
36.0,2018-11-01
36.0,2018-11-02
36.0,2018-11-03
36.0,2018-11-04
36.0,2018-11-06
36.0,2018-11-07
36.0,2018-11-08
36.0,2018-11-09
36.0,2018-11-10
36.0,2018-11-15
35.0,2018-11-16
35.0,2018-11-17
35.0,2018-11-20
35.0,2018-11-21
35.0,2018-11-23
35.0,2018-11-24
35.0,2018-11-26
35.0,2018-11-27
35.0,2018-11-28
35.0,2018-11-29
35.0,2018-11-30
35.0,2018-12-03
35.0,2018-12-04
34.0,2018-12-05
34.0,2018-12-06
34.0,2018-12-07
34.0,2018-12-08
34.0,2018-12-09
34.0,2018-12-11
34.0,2018-12-12
34.0,2018-12-13
34.0,2018-12-15
34.0,2018-12-16
34.0,2018-12-18
34.0,2018-12-19
34.0,2018-12-21
34.0,2018-12-22
34.0,2018-12-25
33.0,2018-12-27
33.0,2018-12-28
32.0,2019-01-03
32.0,2019-01-04
32.0,2019-01-05
32.0,2019-01-08
32.0,2019-01-09
32.0,2019-01-10
32.0,2019-01-11
32.0,2019-01-12
32.0,2019-01-13
32.0,2019-01-14
31.0,2019-01-15
31.0,2019-01-16
31.0,2019-01-17
31.0,2019-01-18
31.0,2019-01-19
31.0,2019-01-22
31.0,2019-01-26
31.0,2019-01-27
31.0,2019-01-29
31.0,2019-01-30
31.0,2019-02-01
31.0,2019-02-02
31.0,2019-02-03
31.0,2019-02-04
31.0,2019-02-05
31.0,2019-02-06
31.0,2019-02-07
31.0,2019-02-10
31.0,2019-02-11
31.0,2019-02-12
32.0,2019-02-13
32.0,2019-02-16
32.0,2019-02-18
32.0,2019-02-19
32.0,2019-02-20
32.0,2019-02-21
32.0,2019-02-22
32.0,2019-02-23
32.0,2019-02-26
32.0,2019-02-28
32.0,2019-03-05
32.0,2019-03-06
32.0,2019-03-07
32.0,2019-03-09
32.0,2019-03-12
32.0,2019-03-13
32.0,2019-03-14
32.0,2019-03-19
32.0,2019-03-20
32.0,2019-03-21
32.0,2019-03-22
32.0,2019-03-23
32.0,2019-03-24
32.0,2019-03-25
32.0,2019-03-26
32.0,2019-03-27
32.0,2019-03-28
32.0,2019-03-29
32.0,2019-03-30
32.0,2019-04-01
32.0,2019-04-02
32.0,2019-04-03
32.0,2019-04-04
32.0,2019-04-05
32.0,2019-04-06
32.0,2019-04-08
32.0,2019-04-09
32.0,2019-04-10
32.0,2019-04-17
32.0,2019-04-18
32.0,2019-04-19
32.0,2019-04-20
32.0,2019-04-21
33.0,2019-04-23
33.0,2019-04-24
33.0,2019-04-26
33.0,2019-04-27
33.0,2019-04-29
33.0,2019-05-02
33.0,2019-05-03
33.0,2019-05-04
33.0,2019-05-07
33.0,2019-05-08
33.0,2019-05-09
32.0,2019-05-10
32.0,2019-05-11
32.0,2019-05-13
32.0,2019-05-14
32.0,2019-05-15
32.0,2019-05-16
32.0,2019-05-17
32.0,2019-05-20
32.0,2019-05-23
32.0,2019-05-24
32.0,2019-05-25
32.0,2019-05-27
32.0,2019-05-28
32.0,2019-05-29
32.0,2019-05-30
32.0,2019-05-31
32.0,2019-06-01
32.0,2019-06-04
32.0,2019-06-05
32.0,2019-06-06
32.0,2019-06-08
32.0,2019-06-10
32.0,2019-06-11
32.0,2019-06-12
32.0,2019-06-13
32.0,2019-06-14
32.0,2019-06-15
32.0,2019-06-17
32.0,2019-06-18
32.0,2019-06-19
32.0,2019-06-20
32.0,2019-06-22
32.0,2019-06-24
32.0,2019-06-25
33.0,2019-06-26
33.0,2019-06-27
33.0,2019-06-28
33.0,2019-06-29
33.0,2019-07-01
33.0,2019-07-02
33.0,2019-07-03
33.0,2019-07-06
33.0,2019-07-08
33.0,2019-07-09
33.0,2019-07-10
33.0,2019-07-11
33.0,2019-07-12
33.0,2019-07-13
33.0,2019-07-14
33.0,2019-07-16
33.0,2019-07-18
33.0,2019-07-21
33.0,2019-07-22
33.0,2019-07-23
33.0,2019-07-24
33.0,2019-07-25
33.0,2019-07-26
33.0,2019-07-27
33.0,2019-07-30
33.0,2019-07-31
33.0,2019-08-01
33.0,2019-08-02
33.0,2019-08-03
33.0,2019-08-05
33.0,2019-08-06
33.0,2019-08-07
33.0,2019-08-08
33.0,2019-08-09
33.0,2019-08-10
33.0,2019-08-13
33.0,2019-08-15
33.0,2019-08-16
33.0,2019-08-19
33.0,2019-08-20
33.0,2019-08-21
33.0,2019-08-23
32.0,2019-08-24
32.0,2019-08-26
32.0,2019-08-27
32.0,2019-08-28
32.0,2019-08-29
32.0,2019-08-30
32.0,2019-08-31
32.0,2019-09-01
32.0,2019-09-03
32.0,2019-09-04
32.0,2019-09-05
32.0,2019-09-06
32.0,2019-09-07
32.0,2019-09-10
32.0,2019-09-11
32.0,2019-09-12
32.0,2019-09-13
32.0,2019-09-14
32.0,2019-09-16
32.0,2019-09-17
32.0,2019-09-18
32.0,2019-09-19
31.0,2019-09-21
31.0,2019-09-24
31.0,2019-09-25
31.0,2019-09-26
31.0,2019-09-27
31.0,2019-09-28
31.0,2019-10-01
30.0,2019-10-02
30.0,2019-10-03
30.0,2019-10-04
30.0,2019-10-05
30.0,2019-10-07
30.0,2019-10-08
30.0,2019-10-09
30.0,2019-10-10
30.0,2019-10-11
30.0,2019-10-13
30.0,2019-10-14
30.0,2019-10-16
30.0,2019-10-17
30.0,2019-10-22
30.0,2019-10-23
30.0,2019-10-24
30.0,2019-10-25
30.0,2019-10-26
30.0,2019-10-28
30.0,2019-10-29
30.0,2019-10-30
30.0,2019-10-31
28.0,2019-11-01
29.0,2019-11-02
29.0,2019-11-03
29.0,2019-11-05
29.0,2019-11-06
29.0,2019-11-08
29.0,2019-11-09
29.0,2019-11-11
29.0,2019-11-12
29.0,2019-11-13
29.0,2019-11-14
29.0,2019-11-15
29.0,2019-11-16
29.0,2019-11-17
29.0,2019-11-18
29.0,2019-11-19
29.0,2019-11-20
29.0,2019-11-21
29.0,2019-11-22
29.0,2019-11-23
29.0,2019-11-24
29.0,2019-11-25
29.0,2019-11-26
29.0,2019-11-27
29.0,2019-11-28
29.0,2019-11-29
29.0,2019-11-30
29.0,2019-12-01
29.0,2019-12-04
29.0,2019-12-05
29.0,2019-12-06
29.0,2019-12-07
29.0,2019-12-11
29.0,2019-12-12
29.0,2019-12-13
29.0,2019-12-14
29.0,2019-12-16
29.0,2019-12-18
29.0,2019-12-19
29.0,2019-12-20
29.0,2019-12-23
29.0,2019-12-25
29.0,2020-01-02
30.0,2020-01-03
30.0,2020-01-04
30.0,2020-01-07
30.0,2020-01-08
30.0,2020-01-09
30.0,2020-01-14
30.0,2020-01-15
30.0,2020-01-16
31.0,2020-01-19
31.0,2020-01-20
31.0,2020-01-21
31.0,2020-01-23
31.0,2020-01-24
31.0,2020-01-25
31.0,2020-01-26
31.0,2020-01-27
31.0,2020-01-28
31.0,2020-01-29
31.0,2020-01-30
31.0,2020-01-31
31.0,2020-02-01
31.0,2020-02-02
31.0,2020-02-03
31.0,2020-02-04
30.0,2020-02-05
30.0,2020-02-06
29.0,2020-02-10
29.0,2020-02-11
29.0,2020-02-12
29.0,2020-02-13
30.0,2020-02-14
30.0,2020-02-15
30.0,2020-02-16
30.0,2020-02-17
30.0,2020-02-18
30.0,2020-02-19
30.0,2020-02-20
30.0,2020-02-21
30.0,2020-02-22
30.0,2020-02-25
30.0,2020-02-26
30.0,2020-02-27
30.0,2020-02-28
29.0,2020-02-29
29.0,2020-03-02
29.0,2020-03-03
29.0,2020-03-05
29.0,2020-03-06
29.0,2020-03-07
28.0,2020-03-09
28.0,2020-03-10
28.0,2020-03-11
28.0,2020-03-12
28.0,2020-03-13
28.0,2020-03-14
28.0,2020-03-16
28.0,2020-03-17
28.0,2020-03-18
27.0,2020-03-19
27.0,2020-03-20
26.0,2020-03-21
26.0,2020-03-23
26.0,2020-03-24
26.0,2020-03-25
26.0,2020-03-26
26.0,2020-03-28
26.0,2020-03-30
26.0,2020-03-31
26.0,2020-04-01
26.0,2020-04-03
26.0,2020-04-07
26.0,2020-04-08
26.0,2020-04-09
26.0,2020-04-12
26.0,2020-04-13
26.0,2020-04-14
26.0,2020-04-16
26.0,2020-04-17
26.0,2020-04-18
26.0,2020-04-20
26.0,2020-04-21
26.0,2020-04-22
26.0,2020-04-23
26.0,2020-04-24
26.0,2020-04-25
26.0,2020-04-27
25.0,2020-04-28
25.0,2020-04-29
25.0,2020-04-30
25.0,2020-05-02
25.0,2020-05-03
25.0,2020-05-04
25.0,2020-05-05
25.0,2020-05-06
25.0,2020-05-07
25.0,2020-05-08
25.0,2020-05-09
25.0,2020-05-11
25.0,2020-05-12
25.0,2020-05-13
25.0,2020-05-14
25.0,2020-05-15
25.0,2020-05-16
25.0,2020-05-18
25.0,2020-05-19
25.0,2020-05-21
25.0,2020-05-22
25.0,2020-05-23
25.0,2020-05-24
26.0,2020-05-26
26.0,2020-05-27
26.0,2020-05-28
26.0,2020-05-29
26.0,2020-05-30
26.0,2020-06-01
26.0,2020-06-02
26.0,2020-06-03
26.0,2020-06-05
26.0,2020-06-06
26.0,2020-06-07
26.0,2020-06-09
26.0,2020-06-11
26.0,2020-06-12
26.0,2020-06-15
26.0,2020-06-16
26.0,2020-06-17
26.0,2020-06-19
26.0,2020-06-23
26.0,2020-06-24
26.0,2020-06-25
26.0,2020-06-26
26.0,2020-06-28
26.0,2020-06-29
26.0,2020-06-30
26.0,2020-07-01
26.0,2020-07-02
26.0,2020-07-04
28.0,2020-07-07
28.0,2020-07-08
28.0,2020-07-09
28.0,2020-07-10
28.0,2020-07-11
28.0,2020-07-13
28.0,2020-07-14
28.0,2020-07-15
28.0,2020-07-16
28.0,2020-07-17
28.0,2020-07-18
28.0,2020-07-19
28.0,2020-07-21
28.0,2020-07-22
28.0,2020-07-23
28.0,2020-07-24
28.0,2020-07-25
28.0,2020-07-29
28.0,2020-07-31
28.0,2020-08-01
28.0,2020-08-03
28.0,2020-08-04
28.0,2020-08-05
