Price,Date
48.0,2018-08-20
48.0,2018-08-26
48.0,2018-08-29
48.0,2018-08-31
48.0,2018-09-01
48.0,2018-09-02
48.0,2018-09-04
48.0,2018-09-05
48.0,2018-09-06
48.0,2018-09-07
48.0,2018-09-08
48.0,2018-09-09
48.0,2018-09-10
48.0,2018-09-12
48.0,2018-09-13
48.0,2018-09-14
48.0,2018-09-15
48.0,2018-09-18
48.0,2018-09-19
48.0,2018-09-20
48.0,2018-09-22
48.0,2018-09-25
48.0,2018-09-26
48.0,2018-09-28
48.0,2018-09-29
48.0,2018-10-01
48.0,2018-10-02
48.0,2018-10-03
48.0,2018-10-04
48.0,2018-10-06
48.0,2018-10-07
48.0,2018-10-09
48.0,2018-10-10
48.0,2018-10-11
48.0,2018-10-13
48.0,2018-10-15
48.0,2018-10-16
48.0,2018-10-17
48.0,2018-10-19
48.0,2018-10-20
48.0,2018-10-22
48.0,2018-10-23
48.0,2018-10-24
48.0,2018-10-25
48.0,2018-10-30
48.0,2018-10-31
48.0,2018-11-01
48.0,2018-11-02
48.0,2018-11-03
48.0,2018-11-04
48.0,2018-11-06
48.0,2018-11-07
48.0,2018-11-08
48.0,2018-11-09
48.0,2018-11-10
48.0,2018-11-15
48.0,2018-11-16
48.0,2018-11-17
48.0,2018-11-20
46.0,2018-11-21
46.0,2018-11-23
46.0,2018-11-24
46.0,2018-11-26
44.0,2018-11-27
44.0,2018-11-28
44.0,2018-11-29
44.0,2018-11-30
44.0,2018-12-03
44.0,2018-12-04
43.0,2018-12-05
43.0,2018-12-06
43.0,2018-12-07
43.0,2018-12-08
43.0,2018-12-09
43.0,2018-12-11
43.0,2018-12-12
43.0,2018-12-13
43.0,2018-12-15
43.0,2018-12-16
43.0,2018-12-18
43.0,2018-12-19
43.0,2018-12-21
43.0,2018-12-22
43.0,2018-12-25
43.0,2018-12-27
43.0,2018-12-28
42.0,2019-01-03
43.0,2019-01-04
43.0,2019-01-05
43.0,2019-01-08
43.0,2019-01-09
43.0,2019-01-10
43.0,2019-01-11
43.0,2019-01-12
43.0,2019-01-13
43.0,2019-01-14
43.0,2019-01-15
41.0,2019-01-16
41.0,2019-01-17
41.0,2019-01-18
41.0,2019-01-19
41.0,2019-01-22
41.0,2019-01-26
41.0,2019-01-27
41.0,2019-01-29
41.0,2019-01-30
41.0,2019-02-01
41.0,2019-02-02
41.0,2019-02-03
41.0,2019-02-04
41.0,2019-02-05
41.0,2019-02-06
41.0,2019-02-07
41.0,2019-02-10
41.0,2019-02-11
41.0,2019-02-12
41.0,2019-02-13
41.0,2019-02-16
41.0,2019-02-18
41.0,2019-02-19
41.0,2019-02-20
41.0,2019-02-21
41.0,2019-02-22
41.0,2019-02-23
41.0,2019-02-26
41.0,2019-02-28
41.0,2019-03-05
41.0,2019-03-06
41.0,2019-03-07
41.0,2019-03-09
41.0,2019-03-12
41.0,2019-03-13
41.0,2019-03-14
41.0,2019-03-19
41.0,2019-03-20
41.0,2019-03-21
41.0,2019-03-22
41.0,2019-03-23
41.0,2019-03-24
41.0,2019-03-25
41.0,2019-03-26
41.0,2019-03-27
41.0,2019-03-28
41.0,2019-03-29
41.0,2019-03-30
41.0,2019-04-01
41.0,2019-04-02
41.0,2019-04-03
41.0,2019-04-04
41.0,2019-04-05
41.0,2019-04-06
41.0,2019-04-08
41.0,2019-04-09
41.0,2019-04-10
41.0,2019-04-17
41.0,2019-04-18
41.0,2019-04-19
41.0,2019-04-20
41.0,2019-04-21
42.0,2019-04-23
42.0,2019-04-24
42.0,2019-04-26
42.0,2019-04-27
42.0,2019-04-29
42.0,2019-05-02
42.0,2019-05-03
42.0,2019-05-04
42.0,2019-05-07
42.0,2019-05-08
42.0,2019-05-09
40.0,2019-05-10
40.0,2019-05-11
40.0,2019-05-13
40.0,2019-05-14
40.0,2019-05-15
40.0,2019-05-16
40.0,2019-05-17
40.0,2019-05-20
40.0,2019-05-23
40.0,2019-05-24
40.0,2019-05-25
40.0,2019-05-27
40.0,2019-05-28
40.0,2019-05-29
40.0,2019-05-30
40.0,2019-05-31
40.0,2019-06-01
40.0,2019-06-04
40.0,2019-06-05
40.0,2019-06-06
40.0,2019-06-08
40.0,2019-06-10
40.0,2019-06-11
40.0,2019-06-12
40.0,2019-06-13
40.0,2019-06-14
40.0,2019-06-15
40.0,2019-06-17
40.0,2019-06-18
40.0,2019-06-19
40.0,2019-06-20
40.0,2019-06-22
40.0,2019-06-24
40.0,2019-06-25
41.0,2019-06-26
41.0,2019-06-27
41.0,2019-06-28
41.0,2019-06-29
41.0,2019-07-01
41.0,2019-07-02
41.0,2019-07-03
41.0,2019-07-06
41.0,2019-07-08
41.0,2019-07-09
41.0,2019-07-10
41.0,2019-07-11
41.0,2019-07-12
41.0,2019-07-13
41.0,2019-07-14
41.0,2019-07-16
41.0,2019-07-18
41.0,2019-07-21
41.0,2019-07-22
41.0,2019-07-23
41.0,2019-07-24
41.0,2019-07-25
41.0,2019-07-26
41.0,2019-07-27
41.0,2019-07-30
41.0,2019-07-31
41.0,2019-08-01
41.0,2019-08-02
41.0,2019-08-03
39.0,2019-08-05
39.0,2019-08-06
39.0,2019-08-07
39.0,2019-08-08
39.0,2019-08-09
39.0,2019-08-10
39.0,2019-08-13
39.0,2019-08-15
39.0,2019-08-16
39.0,2019-08-19
39.0,2019-08-20
39.0,2019-08-21
39.0,2019-08-23
39.0,2019-08-24
39.0,2019-08-26
39.0,2019-08-27
39.0,2019-08-28
39.0,2019-08-29
39.0,2019-08-30
39.0,2019-08-31
39.0,2019-09-01
39.0,2019-09-03
39.0,2019-09-04
39.0,2019-09-05
39.0,2019-09-06
39.0,2019-09-07
39.0,2019-09-10
39.0,2019-09-11
39.0,2019-09-12
39.0,2019-09-13
39.0,2019-09-14
39.0,2019-09-16
39.0,2019-09-17
39.0,2019-09-18
39.0,2019-09-19
39.0,2019-09-21
39.0,2019-09-24
37.0,2019-09-25
37.0,2019-09-26
37.0,2019-09-27
37.0,2019-09-28
37.0,2019-10-01
37.0,2019-10-02
37.0,2019-10-03
37.0,2019-10-04
37.0,2019-10-05
36.0,2019-10-07
36.0,2019-10-08
36.0,2019-10-09
36.0,2019-10-10
36.0,2019-10-11
36.0,2019-10-13
36.0,2019-10-14
36.0,2019-10-16
36.0,2019-10-17
36.0,2019-10-22
36.0,2019-10-23
36.0,2019-10-24
36.0,2019-10-25
36.0,2019-10-26
36.0,2019-10-28
36.0,2019-10-29
33.0,2019-10-30
33.0,2019-10-31
33.0,2019-11-01
33.0,2019-11-02
33.0,2019-11-03
33.0,2019-11-05
33.0,2019-11-06
33.0,2019-11-08
33.0,2019-11-09
33.0,2019-11-11
33.0,2019-11-12
33.0,2019-11-13
33.0,2019-11-14
33.0,2019-11-15
33.0,2019-11-16
33.0,2019-11-17
33.0,2019-11-18
33.0,2019-11-19
33.0,2019-11-20
33.0,2019-11-21
33.0,2019-11-22
33.0,2019-11-23
33.0,2019-11-24
33.0,2019-11-25
33.0,2019-11-26
33.0,2019-11-27
33.0,2019-11-28
33.0,2019-11-29
34.0,2019-11-30
34.0,2019-12-01
34.0,2019-12-04
34.0,2019-12-05
34.0,2019-12-06
34.0,2019-12-07
34.0,2019-12-11
35.0,2019-12-12
35.0,2019-12-13
35.0,2019-12-14
35.0,2019-12-16
35.0,2019-12-18
35.0,2019-12-19
35.0,2019-12-20
35.0,2019-12-23
35.0,2019-12-25
35.0,2020-01-02
35.0,2020-01-03
35.0,2020-01-04
36.0,2020-01-07
36.0,2020-01-08
36.0,2020-01-09
36.0,2020-01-14
36.0,2020-01-15
36.0,2020-01-16
36.0,2020-01-19
36.0,2020-01-20
36.0,2020-01-21
36.0,2020-01-23
36.0,2020-01-24
36.0,2020-01-25
36.0,2020-01-26
36.0,2020-01-27
36.0,2020-01-28
36.0,2020-01-29
36.0,2020-01-30
36.0,2020-01-31
36.0,2020-02-01
36.0,2020-02-02
36.0,2020-02-03
36.0,2020-02-04
36.0,2020-02-05
36.0,2020-02-06
36.0,2020-02-10
36.0,2020-02-11
36.0,2020-02-12
36.0,2020-02-13
36.0,2020-02-14
36.0,2020-02-15
36.0,2020-02-16
36.0,2020-02-17
36.0,2020-02-18
36.0,2020-02-19
36.0,2020-02-20
36.0,2020-02-21
36.0,2020-02-22
36.0,2020-02-25
36.0,2020-02-26
36.0,2020-02-27
36.0,2020-02-28
36.0,2020-02-29
36.0,2020-03-02
36.0,2020-03-03
36.0,2020-03-05
36.0,2020-03-06
36.0,2020-03-07
36.0,2020-03-09
36.0,2020-03-10
36.0,2020-03-11
35.0,2020-03-12
35.0,2020-03-13
35.0,2020-03-14
35.0,2020-03-16
34.0,2020-03-17
33.0,2020-03-18
33.0,2020-03-19
33.0,2020-03-20
32.0,2020-03-21
32.0,2020-03-23
32.0,2020-03-24
32.0,2020-03-25
32.0,2020-03-26
32.0,2020-03-28
32.0,2020-03-30
32.0,2020-03-31
32.0,2020-04-01
32.0,2020-04-03
32.0,2020-04-07
32.0,2020-04-08
32.0,2020-04-09
32.0,2020-04-12
32.0,2020-04-13
32.0,2020-04-14
32.0,2020-04-16
32.0,2020-04-17
32.0,2020-04-18
32.0,2020-04-20
32.0,2020-04-21
32.0,2020-04-22
32.0,2020-04-23
32.0,2020-04-24
32.0,2020-04-25
32.0,2020-04-27
30.0,2020-04-28
30.0,2020-04-29
30.0,2020-04-30
30.0,2020-05-02
30.0,2020-05-03
30.0,2020-05-04
30.0,2020-05-05
30.0,2020-05-06
30.0,2020-05-07
30.0,2020-05-08
30.0,2020-05-09
30.0,2020-05-11
30.0,2020-05-12
30.0,2020-05-13
30.0,2020-05-14
30.0,2020-05-15
30.0,2020-05-16
30.0,2020-05-18
30.0,2020-05-19
30.0,2020-05-21
30.0,2020-05-22
30.0,2020-05-23
30.0,2020-05-24
30.0,2020-05-26
30.0,2020-05-27
30.0,2020-05-28
30.0,2020-05-29
30.0,2020-05-30
30.0,2020-06-01
30.0,2020-06-02
30.0,2020-06-03
30.0,2020-06-05
30.0,2020-06-06
30.0,2020-06-07
31.0,2020-06-09
31.0,2020-06-11
31.0,2020-06-12
31.0,2020-06-15
31.0,2020-06-16
31.0,2020-06-17
31.0,2020-06-19
31.0,2020-06-23
31.0,2020-06-24
31.0,2020-06-25
31.0,2020-06-26
31.0,2020-06-28
31.0,2020-06-29
31.0,2020-06-30
31.0,2020-07-01
31.0,2020-07-02
31.0,2020-07-04
31.0,2020-07-07
31.0,2020-07-08
31.0,2020-07-09
31.0,2020-07-10
32.0,2020-07-11
32.0,2020-07-13
32.0,2020-07-14
32.0,2020-07-15
32.0,2020-07-16
32.0,2020-07-17
32.0,2020-07-18
32.0,2020-07-19
32.0,2020-07-21
32.0,2020-07-22
32.0,2020-07-23
32.0,2020-07-24
32.0,2020-07-25
32.0,2020-07-29
32.0,2020-07-31
32.0,2020-08-01
32.0,2020-08-03
32.0,2020-08-04
32.0,2020-08-05
32.0,2020-08-06
32.0,2020-08-07
32.0,2020-08-08
32.0,2020-08-09
32.0,2020-08-10
32.0,2020-08-11
32.0,2020-08-12
32.0,2020-08-13
32.0,2020-08-14
32.0,2020-08-15
32.0,2020-08-17
32.0,2020-08-18
32.0,2020-08-19
32.0,2020-08-20
32.0,2020-08-21
32.0,2020-08-22
32.0,2020-08-23
32.0,2020-08-24
33.0,2020-08-26
33.0,2020-08-28
33.0,2020-08-29
33.0,2020-08-30
34.0,2020-09-01
34.0,2020-09-04
34.0,2020-09-07
34.0,2020-09-08
34.0,2020-09-09
34.0,2020-09-10
34.0,2020-09-11
34.0,2020-09-12
34.0,2020-09-13
34.0,2020-09-14
35.0,2020-09-15
35.0,2020-09-16
35.0,2020-09-17
35.0,2020-09-18
35.0,2020-09-20
35.0,2020-09-23
35.0,2020-09-24
35.0,2020-09-26
35.0,2020-09-29
36.0,2020-09-30
36.0,2020-10-01
36.0,2020-10-02
36.0,2020-10-03
36.0,2020-10-05
36.0,2020-10-06
36.0,2020-10-07
36.0,2020-10-08
36.0,2020-10-09
36.0,2020-10-10
36.0,2020-10-11
36.0,2020-10-12
36.0,2020-10-13
36.0,2020-10-14
36.0,2020-10-15
36.0,2020-10-16
36.0,2020-10-17
36.0,2020-10-18
36.0,2020-10-19
36.0,2020-10-20
37.0,2020-10-21
37.0,2020-10-26
37.0,2020-10-27
37.0,2020-10-28
37.0,2020-10-29
37.0,2020-10-30
37.0,2020-10-31
37.0,2020-11-02
37.0,2020-11-03
37.0,2020-11-04
37.0,2020-11-05
37.0,2020-11-06
37.0,2020-11-07
37.0,2020-11-09
37.0,2020-11-10
37.0,2020-11-11
37.0,2020-11-12
37.0,2020-11-13
37.0,2020-11-14
37.0,2020-11-17
37.0,2020-11-18
37.0,2020-11-19
40.0,2020-11-20
40.0,2020-11-21
40.0,2020-11-22
40.0,2020-11-23
40.0,2020-11-25
40.0,2020-11-26
40.0,2020-11-27
40.0,2020-11-28
40.0,2020-11-29
40.0,2020-11-30
40.0,2020-12-01
40.0,2020-12-02
40.0,2020-12-03
40.0,2020-12-04
40.0,2020-12-05
40.0,2020-12-06
40.0,2020-12-07
40.0,2020-12-08
40.0,2020-12-10
40.0,2020-12-12
41.0,2020-12-13
41.0,2020-12-14
41.0,2020-12-17
41.0,2020-12-18
41.0,2020-12-19
41.0,2020-12-21
41.0,2020-12-22
41.0,2020-12-23
41.0,2020-12-24
41.0,2020-12-27
41.0,2020-12-28
42.0,2020-12-29
42.0,2021-01-03
42.0,2021-01-04
42.0,2021-01-05
42.0,2021-01-06
42.0,2021-01-07
42.0,2021-01-08
42.0,2021-01-11
42.0,2021-01-12
42.0,2021-01-13
42.0,2021-01-14
42.0,2021-01-16
42.0,2021-01-18
42.0,2021-01-22
42.0,2021-01-24
41.0,2021-01-26
41.0,2021-01-27
41.0,2021-01-28
41.0,2021-01-29
41.0,2021-01-30
41.0,2021-01-31
41.0,2021-02-01
41.0,2021-02-02
41.0,2021-02-03
41.0,2021-02-04
41.0,2021-02-06
41.0,2021-02-08
41.0,2021-02-09
41.0,2021-02-10
41.0,2021-02-11
41.0,2021-02-14
41.0,2021-02-15
41.0,2021-02-16
41.0,2021-02-17
41.0,2021-02-18
41.0,2021-02-19
41.0,2021-02-20
41.0,2021-02-23
41.0,2021-02-24
41.0,2021-02-26
41.0,2021-02-27
41.0,2021-03-02
43.0,2021-03-04
43.0,2021-03-05
43.0,2021-03-06
43.0,2021-03-08
43.0,2021-03-09
43.0,2021-03-10
43.0,2021-03-11
43.0,2021-03-12
43.0,2021-03-13
43.0,2021-03-14
43.0,2021-03-15
43.0,2021-03-16
43.0,2021-03-17
43.0,2021-03-18
43.0,2021-03-19
43.0,2021-03-20
43.0,2021-03-22
43.0,2021-03-23
43.0,2021-03-24
43.0,2021-03-25
43.0,2021-03-26
43.0,2021-03-28
44.0,2021-03-29
45.0,2021-03-31
45.0,2021-04-01
45.0,2021-04-02
45.0,2021-04-03
45.0,2021-04-04
45.0,2021-04-07
45.0,2021-04-08
45.0,2021-04-10
45.0,2021-04-11
45.0,2021-04-17
45.0,2021-04-18
46.0,2021-04-19
46.0,2021-04-20
46.0,2021-04-21
46.0,2021-04-23
47.0,2021-04-24
47.0,2021-04-25
47.0,2021-04-26
49.0,2021-04-27
49.0,2021-04-28
49.0,2021-04-29
49.0,2021-04-30
49.0,2021-05-02
50.0,2021-05-04
50.0,2021-05-06
50.0,2021-05-07
50.0,2021-05-08
51.0,2021-05-09
51.0,2021-05-11
51.0,2021-05-12
51.0,2021-05-13
51.0,2021-05-14
51.0,2021-05-15
51.0,2021-05-17
51.0,2021-05-19
51.0,2021-05-20
51.0,2021-05-22
51.0,2021-05-24
51.0,2021-05-25
51.0,2021-05-26
51.0,2021-05-27
51.0,2021-05-28
53.0,2021-05-29
53.0,2021-05-30
53.0,2021-06-02
53.0,2021-06-03
53.0,2021-06-04
53.0,2021-06-08
53.0,2021-06-10
53.0,2021-06-12
53.0,2021-06-15
53.0,2021-06-16
53.0,2021-06-17
52.0,2021-06-18
52.0,2021-06-19
51.0,2021-06-21
51.0,2021-06-23
51.0,2021-06-24
51.0,2021-06-25
51.0,2021-06-26
51.0,2021-06-28
51.0,2021-06-29
51.0,2021-06-30
51.0,2021-07-01
51.0,2021-07-02
51.0,2021-07-03
51.0,2021-07-04
51.0,2021-07-06
51.0,2021-07-07
51.0,2021-07-08
51.0,2021-07-10
52.0,2021-07-11
52.0,2021-07-12
52.0,2021-07-13
52.0,2021-07-14
52.0,2021-07-15
52.0,2021-07-16
52.0,2021-07-17
52.0,2021-07-18
52.0,2021-07-20
52.0,2021-07-21
52.0,2021-07-22
53.0,2021-07-23
53.0,2021-07-25
53.0,2021-07-26
53.0,2021-07-28
53.0,2021-07-29
53.0,2021-07-30
53.0,2021-07-31
53.0,2021-08-01
53.0,2021-08-02
53.0,2021-08-03
53.0,2021-08-04
53.0,2021-08-05
53.0,2021-08-07
53.0,2021-08-08
53.0,2021-08-09
53.0,2021-08-10
53.0,2021-08-11
53.0,2021-08-12
53.0,2021-08-13
53.0,2021-08-14
53.0,2021-08-15
56.0,2021-08-16
56.0,2021-08-17
56.0,2021-08-18
56.0,2021-08-19
56.0,2021-08-20
56.0,2021-08-21
56.0,2021-08-23
57.0,2021-08-24
57.0,2021-08-25
57.0,2021-08-26
57.0,2021-08-27
57.0,2021-08-30
57.0,2021-08-31
57.0,2021-09-01
57.0,2021-09-02
57.0,2021-09-03
58.0,2021-09-04
58.0,2021-09-06
58.0,2021-09-07
58.0,2021-09-08
58.0,2021-09-09
58.0,2021-09-10
58.0,2021-09-11
58.0,2021-09-12
61.0,2021-09-13
61.0,2021-09-15
61.0,2021-09-16
62.0,2021-09-17
66.0,2021-09-18
66.0,2021-09-20
66.0,2021-09-21
66.0,2021-09-22
66.0,2021-09-23
66.0,2021-09-24
66.0,2021-09-25
66.0,2021-09-26
66.0,2021-09-27
66.0,2021-09-30
66.0,2021-10-01
66.0,2021-10-03
69.0,2021-10-04
69.0,2021-10-06
69.0,2021-10-07
69.0,2021-10-08
69.0,2021-10-10
69.0,2021-10-12
74.0,2021-10-13
74.0,2021-10-14
74.0,2021-10-15
74.0,2021-10-16
79.0,2021-10-17
79.0,2021-10-18
79.0,2021-10-19
79.0,2021-10-20
79.0,2021-10-21
81.0,2021-10-22
81.0,2021-10-23
81.0,2021-10-24
81.0,2021-10-25
81.0,2021-10-26
81.0,2021-10-27
79.0,2021-10-28
78.0,2021-10-31
76.0,2021-11-01
76.0,2021-11-02
76.0,2021-11-03
76.0,2021-11-04
