Price,Date
44.0,2018-08-20
44.0,2018-08-26
44.0,2018-08-29
44.0,2018-08-31
44.0,2018-09-01
44.0,2018-09-02
44.0,2018-09-04
44.0,2018-09-05
44.0,2018-09-06
44.0,2018-09-07
44.0,2018-09-08
44.0,2018-09-09
44.0,2018-09-10
44.0,2018-09-12
44.0,2018-09-13
44.0,2018-09-14
44.0,2018-09-15
44.0,2018-09-18
44.0,2018-09-19
44.0,2018-09-20
44.0,2018-09-22
44.0,2018-09-25
44.0,2018-09-26
44.0,2018-09-28
44.0,2018-09-29
44.0,2018-10-01
44.0,2018-10-02
44.0,2018-10-03
44.0,2018-10-04
44.0,2018-10-06
44.0,2018-10-07
44.0,2018-10-09
44.0,2018-10-10
44.0,2018-10-11
44.0,2018-10-13
44.0,2018-10-15
44.0,2018-10-16
44.0,2018-10-17
44.0,2018-10-19
44.0,2018-10-20
44.0,2018-10-22
44.0,2018-10-23
44.0,2018-10-24
44.0,2018-10-25
44.0,2018-10-30
44.0,2018-10-31
44.0,2018-11-01
44.0,2018-11-02
44.0,2018-11-03
44.0,2018-11-04
44.0,2018-11-06
44.0,2018-11-07
44.0,2018-11-08
44.0,2018-11-09
44.0,2018-11-10
44.0,2018-11-15
44.0,2018-11-16
44.0,2018-11-17
44.0,2018-11-20
44.0,2018-11-21
44.0,2018-11-23
44.0,2018-11-24
44.0,2018-11-26
44.0,2018-11-27
44.0,2018-11-28
44.0,2018-11-29
44.0,2018-11-30
44.0,2018-12-03
44.0,2018-12-04
43.0,2018-12-05
43.0,2018-12-06
43.0,2018-12-07
43.0,2018-12-08
43.0,2018-12-09
43.0,2018-12-11
43.0,2018-12-12
43.0,2018-12-13
43.0,2018-12-15
43.0,2018-12-16
43.0,2018-12-18
43.0,2018-12-19
43.0,2018-12-21
43.0,2018-12-22
43.0,2018-12-25
42.0,2018-12-27
42.0,2018-12-28
41.0,2019-01-03
41.0,2019-01-04
41.0,2019-01-05
41.0,2019-01-08
41.0,2019-01-09
41.0,2019-01-10
41.0,2019-01-11
41.0,2019-01-12
41.0,2019-01-13
41.0,2019-01-14
40.0,2019-01-15
40.0,2019-01-16
40.0,2019-01-17
40.0,2019-01-18
40.0,2019-01-19
40.0,2019-01-22
40.0,2019-01-26
40.0,2019-01-27
40.0,2019-01-29
40.0,2019-01-30
40.0,2019-02-01
40.0,2019-02-02
40.0,2019-02-03
40.0,2019-02-04
40.0,2019-02-05
40.0,2019-02-06
40.0,2019-02-07
40.0,2019-02-10
40.0,2019-02-11
40.0,2019-02-12
40.0,2019-02-13
38.0,2019-02-16
38.0,2019-02-18
38.0,2019-02-19
38.0,2019-02-20
38.0,2019-02-21
38.0,2019-02-22
38.0,2019-02-23
38.0,2019-02-26
38.0,2019-02-28
38.0,2019-03-05
38.0,2019-03-06
38.0,2019-03-07
38.0,2019-03-09
38.0,2019-03-12
38.0,2019-03-13
38.0,2019-03-14
38.0,2019-03-19
38.0,2019-03-20
38.0,2019-03-21
38.0,2019-03-22
38.0,2019-03-23
38.0,2019-03-24
38.0,2019-03-25
38.0,2019-03-26
38.0,2019-03-27
38.0,2019-03-28
38.0,2019-03-29
38.0,2019-03-30
38.0,2019-04-01
38.0,2019-04-02
38.0,2019-04-03
38.0,2019-04-04
38.0,2019-04-05
38.0,2019-04-06
38.0,2019-04-08
38.0,2019-04-09
38.0,2019-04-10
38.0,2019-04-17
38.0,2019-04-18
38.0,2019-04-19
38.0,2019-04-20
38.0,2019-04-21
38.0,2019-04-23
38.0,2019-04-24
38.0,2019-04-26
38.0,2019-04-27
38.0,2019-04-29
38.0,2019-05-02
38.0,2019-05-03
38.0,2019-05-04
38.0,2019-05-07
38.0,2019-05-08
38.0,2019-05-09
36.0,2019-05-10
36.0,2019-05-11
36.0,2019-05-13
36.0,2019-05-14
36.0,2019-05-15
36.0,2019-05-16
36.0,2019-05-17
36.0,2019-05-20
36.0,2019-05-23
36.0,2019-05-24
